"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.449914103E0	-9.309454918E0	-1.783813095E1	-2.513700294E1	3.219835064E1
1.458499332E0	-1.110889244E1	-2.242568207E1	-1.970523262E1	3.185302027E1
1.467084356E0	-1.606661034E1	-2.541632652E1	-1.077330971E1	3.194041051E1
1.475669281E0	-1.915545845E1	-2.866389847E1	-4.581666946E0	3.477847518E1
1.484254514E0	-2.073536873E1	-2.921726990E1	-2.289406061E0	3.590049800E1
1.492839668E0	-2.075635910E1	-3.419224930E1	-4.795608044E0	4.028565764E1
1.501424706E0	-2.272755051E1	-3.752098846E1	-1.170289040E0	4.388320526E1
1.510009862E0	-2.558654404E1	-3.815821838E1	5.357244968E0	4.625387486E1
1.518594862E0	-2.734288216E1	-3.513119125E1	1.145964622E1	4.596909065E1
1.527180091E0	-2.784345818E1	-3.218134689E1	1.235275745E1	4.431126118E1
1.535765207E0	-2.311095047E1	-3.020895386E1	1.095269108E1	3.958103544E1
1.544350207E0	-1.191845322E1	-3.036991692E1	2.049644470E1	3.852902316E1
1.552935356E0	-4.032049179E0	-3.023959732E1	5.890346050E0	3.107067497E1
1.561520356E0	2.514205933E0	-3.078005028E1	3.551224947E0	3.108607285E1
1.570105491E0	1.023761177E1	-3.702266312E1	7.800831795E0	3.919616379E1
1.578690493E0	1.896868324E1	-3.502899551E1	2.432963181E1	4.667732270E1
1.587275671E0	1.480700874E1	-2.100960159E1	3.350293732E1	4.222674124E1
1.595860899E0	1.007815361E1	-1.552175045E1	3.860430908E1	4.281105695E1
1.604445913E0	8.129215240E0	-1.973246765E1	2.979611397E1	3.665055017E1
1.613031067E0	4.357157230E0	-1.969305038E1	2.286389732E1	3.048866762E1
1.621616084E0	-8.479269743E-1	-1.919070816E1	1.571629715E1	2.481943303E1
1.630201236E0	-5.811657906E0	-2.025872040E1	9.565113068E0	2.314481600E1
1.638786262E0	-9.779999733E0	-2.060783768E1	5.390201092E0	2.343897686E1
1.647371510E0	-1.085543442E1	-2.222492790E1	3.613296986E0	2.499687564E1
1.655956435E0	-1.124581146E1	-2.416807556E1	2.675390959E0	2.679033163E1
1.664541654E0	-1.234483337E1	-2.584285736E1	2.742240131E-1	2.864128814E1
1.673126808E0	-1.350979424E1	-2.696797180E1	-1.094853997E0	3.018252389E1
1.681711804E0	-1.439159489E1	-2.739008713E1	-2.533169985E0	3.104435257E1
1.690296960E0	-1.587899113E1	-2.639974022E1	-3.503483057E0	3.100585487E1
1.698881936E0	-1.634200668E1	-2.513775635E1	-5.765262127E0	3.053205240E1
1.707467164E0	-1.790538788E1	-2.075902939E1	-4.922479153E0	2.785266625E1
1.716052065E0	-1.992451859E1	-1.542329884E1	-4.997125149E0	2.568727015E1
1.724637294E0	-1.983212090E1	-1.204971600E1	-7.600541115E0	2.441878171E1
1.733222418E0	-1.719367218E1	-7.914596081E0	-1.496802998E1	2.413099906E1
1.741807418E0	-1.743589973E1	-1.668799043E0	-2.045750809E1	2.693148950E1
1.750392543E0	-1.812697792E1	3.667218924E0	-2.146743202E1	2.833525120E1
1.758977545E0	-2.042828560E1	5.908986092E0	-2.254670715E1	3.099330529E1
1.767562704E0	-1.873365784E1	1.910655022E0	-2.677417564E1	3.273311809E1
1.776147933E0	-1.667767334E1	-1.662659943E-1	-3.032369995E1	3.460779119E1
1.784732942E0	-1.668715286E1	1.828989983E0	-2.817363548E1	3.279573160E1
1.793318096E0	-1.647249794E1	1.054973006E0	-2.335846519E1	2.860199386E1
1.801903115E0	-1.661398125E1	-2.480758905E0	-2.000638390E1	2.612343649E1
1.810488268E0	-1.737818527E1	-6.392939091E0	-1.694844627E1	2.510220757E1
1.819073237E0	-1.769577789E1	-1.059987354E1	-1.591076756E1	2.605091934E1
1.827658391E0	-1.765987206E1	-1.419065857E1	-1.562016201E1	2.751790931E1
1.836243620E0	-1.799244690E1	-1.949850273E1	-1.426269722E1	3.012215607E1
1.844828620E0	-1.765583420E1	-2.633900452E1	-1.394401646E1	3.463967718E1
1.853413731E0	-1.866978073E1	-3.288307190E1	-1.006567764E1	3.913023123E1
1.861998733E0	-2.110919189E1	-3.737452316E1	-3.261472940E0	4.304753384E1
1.870583906E0	-2.381004524E1	-3.987996674E1	4.949989796E0	4.671008885E1
1.879168906E0	-2.615411568E1	-3.949010468E1	1.490343571E1	4.965499502E1
1.887754079E0	-2.547385406E1	-3.621495819E1	2.560093689E1	5.114536545E1
1.896339079E0	-2.101441956E1	-3.181594849E1	3.581868744E1	5.231480457E1
1.904924299E0	-1.331680870E1	-2.940131378E1	4.157582474E1	5.263386599E1
1.913509452E0	-2.045351982E0	-2.808450508E1	4.400395584E1	5.224242548E1
1.922094452E0	4.161635876E0	-2.700399780E1	4.555036163E1	5.311657515E1
1.930679608E0	7.468730927E0	-2.702677727E1	4.412659836E1	5.228178759E1
1.939264636E0	8.604643822E0	-2.998625374E1	3.833373642E1	4.942358401E1
1.947849865E0	6.298305988E0	-3.261623764E1	2.861264610E1	4.384257215E1
1.956434809E0	-4.199900031E-1	-3.350328064E1	1.730890274E1	3.771265463E1
1.965020038E0	-8.685887337E0	-3.359745789E1	7.974897861E0	3.560663999E1
1.973605216E0	-1.675247955E1	-3.242718506E1	1.991794944E0	3.655318248E1
1.982190216E0	-2.320992470E1	-2.986929131E1	-1.961590052E0	3.787773757E1
1.990775403E0	-2.679506874E1	-2.855506134E1	-4.558122158E0	3.942262947E1
1.999360405E0	-2.706813812E1	-2.746217346E1	-6.545454979E0	3.911135453E1
2.007945540E0	-2.660070419E1	-2.476784515E1	-7.200245857E0	3.705249192E1
2.016530768E0	-2.491406250E1	-2.126633072E1	-1.149171257E1	3.471349579E1
2.025115787E0	-2.257390404E1	-1.479403687E1	-1.679415894E1	3.178818090E1
2.033700941E0	-2.108036995E1	-6.862966061E0	-2.407872581E1	3.273022055E1
2.042286172E0	-2.125795746E1	9.554380178E-1	-2.939147186E1	3.628597850E1
2.050871100E0	-2.257880402E1	4.414196014E0	-3.356222916E1	4.069042569E1
2.059456102E0	-2.383928108E1	1.002836943E0	-3.886769867E1	4.560718150E1
2.068041275E0	-2.668080711E1	2.033904076E0	-3.495125580E1	4.401809305E1
2.076626504E0	-2.956404877E1	4.709911823E0	-2.539181328E1	3.925506885E1
2.085211543E0	-2.837896156E1	-3.503600135E-2	-2.030933380E1	3.489750315E1
2.093796697E0	-2.488390350E1	-6.709263802E0	-1.572784996E1	3.019251793E1
2.102381752E0	-2.216405487E1	-1.278887653E1	-1.257170868E1	2.851049895E1
2.110966906E0	-1.961328125E1	-1.780047989E1	-1.033082581E1	2.842998149E1
2.119552177E0	-1.773126602E1	-2.116365433E1	-9.448595047E0	2.918174100E1
2.128137178E0	-1.711928177E1	-2.424076462E1	-8.381139755E0	3.083712018E1
2.136722307E0	-1.772597694E1	-2.753271294E1	-6.260787964E0	3.333853635E1
2.145307309E0	-1.920679092E1	-3.035639954E1	-3.400986910E0	3.608293949E1
2.153892446E0	-2.062105560E1	-3.316161346E1	-1.490345001E0	3.907866003E1
2.162477448E0	-2.297306633E1	-3.636354065E1	1.789180040E0	4.304962288E1
2.171062602E0	-2.581397247E1	-3.713533783E1	9.169715881E0	4.614626940E1
2.179647602E0	-2.711247063E1	-3.336979675E1	1.989906693E1	4.737723360E1
2.188232836E0	-2.325265884E1	-2.970339584E1	3.373009109E1	5.060332907E1
2.196817990E0	-1.346323872E1	-2.755141640E1	4.354914474E1	5.326225071E1
2.205402956E0	4.004710019E-1	-2.958185768E1	4.701154327E1	5.554576385E1
2.213988110E0	1.286483192E1	-2.968733597E1	4.841618729E1	5.823202734E1
2.222573107E0	1.887390518E1	-2.795075226E1	4.526675415E1	5.644951621E1
2.231158336E0	1.511837101E1	-2.438661766E1	4.053165436E1	4.965971474E1
2.239743242E0	8.237316132E0	-2.599693108E1	2.934569740E1	4.006075085E1
2.248328441E0	-2.407330990E0	-2.666482925E1	2.009074402E1	3.347306913E1
2.256913595E0	-1.378252602E1	-2.520123672E1	1.199042892E1	3.112604603E1
2.265498605E0	-2.375142860E1	-2.382120705E1	6.724842072E0	3.430457355E1
2.274083761E0	-3.029844856E1	-2.266997147E1	4.131116867E0	3.806559757E1
2.282668725E0	-3.342973709E1	-2.334953308E1	4.694899917E-2	4.077683437E1
2.291253881E0	-3.205248642E1	-2.299730873E1	-3.659123898E0	3.961852196E1
2.299839077E0	-3.043199730E1	-2.050891113E1	-5.946166039E0	3.717632023E1
2.308424077E0	-2.771281624E1	-1.698840523E1	-8.419084549E0	3.357807440E1
2.317009226E0	-2.371148872E1	-1.281172466E1	-1.237668133E1	2.965733007E1
2.325594226E0	-2.062415695E1	-7.687217236E0	-1.796958923E1	2.841399824E1
2.334179343E0	-1.996039772E1	-1.914854050E0	-2.287675667E1	3.042088327E1
2.342764343E0	-2.320689964E1	5.081200123E0	-2.619318581E1	3.536186885E1
2.351349571E0	-2.580142021E1	5.973271847E0	-2.949876404E1	3.964303648E1
2.359934725E0	-2.452975082E1	6.915450096E-1	-3.401039124E1	4.193916573E1
2.368519669E0	-2.568814468E1	2.810389042E0	-2.752330399E1	3.775329557E1
2.377104823E0	-2.585196877E1	6.527370214E-1	-2.008779907E1	3.274553445E1
2.385689802E0	-2.468048859E1	-4.750454903E0	-1.644927788E1	3.003784415E1
2.394274958E0	-2.222527122E1	-1.103244305E1	-1.355008602E1	2.827158135E1
2.402859948E0	-2.032564163E1	-1.655350304E1	-1.265721893E1	2.910936897E1
2.411445177E0	-2.029343033E1	-2.118294907E1	-1.116434956E1	3.138763047E1
2.420030346E0	-2.136825943E1	-2.546186256E1	-8.527752876E0	3.431663628E1
2.428615348E0	-2.397191620E1	-2.921976471E1	-4.363154888E0	3.804582154E1
2.437200507E0	-2.567512894E1	-3.305323029E1	9.020460248E-1	4.186337260E1
2.445785507E0	-2.680494118E1	-3.579521179E1	5.715048790E0	4.508285529E1
2.454370661E0	-2.655268478E1	-3.667567825E1	1.048742294E1	4.647726847E1
2.462955661E0	-2.559097481E1	-3.592623520E1	1.675918007E1	4.718540541E1
2.471540818E0	-2.348870087E1	-3.324909210E1	2.493765640E1	4.774000315E1
2.480126047E0	-1.852168465E1	-3.046354294E1	3.448439789E1	4.960094705E1
2.488711107E0	-1.100546265E1	-2.806231689E1	4.257128906E1	5.216251997E1
2.497296261E0	-6.044120193E-1	-2.613502884E1	4.649948120E1	5.334422929E1
2.505881247E0	1.058590889E1	-2.632235527E1	4.486027908E1	5.307892702E1
2.514466476E0	1.802724457E1	-2.657472229E1	4.207231522E1	5.292709249E1
2.523051653E0	1.599053478E1	-2.600516129E1	3.704319382E1	4.800170647E1
2.531636653E0	6.539922237E0	-2.527237129E1	2.980667114E1	3.962197595E1
2.540221844E0	-4.844790936E0	-2.631182289E1	2.185097694E1	3.454343956E1
2.548806842E0	-1.720183563E1	-2.614717865E1	1.629708862E1	3.528701175E1
2.557392017E0	-2.709488678E1	-2.576787567E1	1.179705048E1	3.920824794E1
2.565977017E0	-3.249312592E1	-2.670836449E1	7.708602905E0	4.276169459E1
2.574562250E0	-3.505014038E1	-2.752136230E1	4.672648907E0	4.480816189E1
2.583147404E0	-3.529754639E1	-2.761261368E1	2.323956013E0	4.487509317E1
2.591732409E0	-3.372100830E1	-2.607408905E1	-1.238451958E0	4.264385400E1
2.600317563E0	-3.031561470E1	-2.183649826E1	-4.197842121E0	3.759642309E1
2.608902589E0	-2.535937691E1	-1.623898315E1	-8.865020752E0	3.139094079E1
2.617487743E0	-2.357130051E1	-9.334463120E0	-1.628927803E1	3.013434897E1
2.626072957E0	-2.301259613E1	9.373189807E-1	-2.458975410E1	3.369145521E1
2.634657957E0	-3.005138397E1	1.169913387E1	-3.116112709E1	4.484385413E1
2.643243107E0	-2.831756592E1	9.509305954E0	-3.855694962E1	4.877447901E1
2.651828126E0	-2.416661835E1	-3.097764969E0	-4.820718765E1	5.401439189E1
2.660413280E0	-2.538153458E1	-1.513654947E0	-3.853557205E1	4.616821160E1
2.668998277E0	-3.117730522E1	-3.388288021E0	-2.809656906E1	4.210608091E1
2.677583430E0	-3.204721069E1	-1.457527733E1	-2.508073616E1	4.322621599E1
2.686168635E0	-3.157503510E1	-2.639551926E1	-2.185111618E1	4.659589635E1
2.694753635E0	-3.297290421E1	-3.569945908E1	-1.610247231E1	5.119524787E1
2.703338800E0	-3.377060318E1	-4.225545502E1	-9.343493462E0	5.489333282E1
2.711923798E0	-3.837462234E1	-4.373621750E1	-7.383710146E-1	5.818946256E1
2.720508921E0	-4.203187561E1	-3.986645126E1	8.740273476E0	5.858672959E1
2.729094150E0	-4.122064590E1	-3.501353455E1	1.483301544E1	5.608125888E1
2.737679087E0	-3.483604431E1	-3.387893677E1	1.851754570E1	5.200222917E1
2.746264089E0	-2.678669167E1	-3.239481354E1	2.208600044E1	4.748412587E1
2.754849284E0	-2.283363152E1	-2.899868011E1	2.646369171E1	4.541613321E1
