"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
1.961155030E-1	-6.338749826E-2	2.749999985E-3	-2.749999985E-3	6.350669205E-2
1.982629620E-1	-5.719999969E-2	-8.249999955E-4	-3.849999979E-3	5.733535636E-2
2.004085030E-1	-5.115000159E-2	-3.299999982E-3	-2.749999985E-3	5.133006100E-2
2.025558850E-1	-4.262499884E-2	-3.299999982E-3	-1.512499992E-3	4.277929618E-2
2.047014260E-1	-3.396249935E-2	-3.299999982E-3	-1.512499992E-3	3.415595143E-2
2.068490480E-1	-2.543750033E-2	-3.299999982E-3	-2.749999985E-4	2.565213535E-2
2.089945890E-1	-1.691249944E-2	4.124999978E-4	-2.749999985E-4	1.691976414E-2
2.111420480E-1	-7.149999961E-3	1.512499992E-3	9.624999948E-4	7.371333795E-3
2.132875120E-1	1.374999993E-4	2.749999985E-3	-2.749999985E-4	2.767134107E-3
2.154349710E-1	8.799999952E-3	2.749999985E-3	-2.749999985E-4	9.223780357E-3
2.175804980E-1	1.732499897E-2	1.512499992E-3	-2.749999985E-4	1.739306962E-2
2.197281110E-1	2.584999986E-2	4.124999978E-4	9.624999948E-4	2.587120127E-2
2.218736520E-1	3.437500075E-2	-2.062499989E-3	2.199999988E-3	3.450702222E-2
2.240211110E-1	4.056249931E-2	-3.299999982E-3	2.199999988E-3	4.075593638E-2
2.261665750E-1	4.661250114E-2	-4.537499975E-3	3.437499981E-3	4.695881786E-2
2.283140630E-1	5.266249925E-2	-7.012499962E-3	3.437499981E-3	5.323842963E-2
2.304596040E-1	5.637500063E-2	-5.774999969E-3	3.437499981E-3	5.677418186E-2
2.326072170E-1	5.884999782E-2	-4.537499975E-3	9.624999948E-4	5.903251270E-2
2.347527580E-1	6.489999592E-2	-4.537499975E-3	2.199999988E-3	6.509560950E-2
2.369002170E-1	6.489999592E-2	-5.774999969E-3	3.437499981E-3	6.524704209E-2
